date,,activity
2018/3/20 11:16,0.006508456,STATIC
2018/3/20 11:16,0.00819939,STATIC
2018/3/20 11:16,0.009153688,STATIC
2018/3/20 11:16,0.007082372,STATIC
2018/3/20 11:16,0.006133514,STATIC
2018/3/20 11:16,0.011459058,STATIC
2018/3/20 11:16,0.00735663,STATIC
2018/3/20 11:16,0.007213182,STATIC
2018/3/20 11:16,0.007016409,STATIC
2018/3/20 11:16,0.006166847,STATIC
2018/3/20 11:16,0.007788453,STATIC
2018/3/20 11:16,0.005117617,STATIC
2018/3/20 11:16,0.008061017,STATIC
2018/3/20 11:16,0.005529919,STATIC
2018/3/20 11:16,0.005656854,STATIC
2018/3/20 11:16,0.007071775,STATIC
2018/3/20 11:16,0.007071775,STATIC
2018/3/20 11:16,0.002657066,STATIC
2018/3/20 11:16,0.008219489,STATIC
2018/3/20 11:16,0.003785499,STATIC
2018/3/20 11:16,0.001558846,STATIC
2018/3/20 11:16,0.001509967,STATIC
2018/3/20 11:16,0.00433705,STATIC
2018/3/20 11:16,0.013860736,STATIC
2018/3/20 11:16,0.011174077,STATIC
2018/3/20 11:16,0.002271563,STATIC
2018/3/20 11:16,0.009998,STATIC
2018/3/20 11:16,0.003830144,STATIC
2018/3/20 11:16,0.008954887,STATIC
2018/3/20 11:16,0.010905962,STATIC
2018/3/20 11:16,0.006363961,STATIC
2018/3/20 11:16,0.006964912,STATIC
2018/3/20 11:16,0.009783149,STATIC
2018/3/20 11:16,0.0008544,STATIC
2018/3/20 11:16,0.008914595,STATIC
2018/3/20 11:16,0.007689603,STATIC
2018/3/20 11:16,0.005301886,STATIC
2018/3/20 11:16,0.007218726,STATIC
2018/3/20 11:16,0.007218726,STATIC
2018/3/20 11:16,0.006542935,STATIC
2018/3/20 11:16,0.007590784,STATIC
2018/3/20 11:16,0.007561746,STATIC
2018/3/20 11:16,0.01034118,STATIC
2018/3/20 11:16,0.008344459,STATIC
2018/3/20 11:16,0.007982481,STATIC
2018/3/20 11:16,0.005516339,STATIC
2018/3/20 11:16,0.007653104,STATIC
2018/3/20 11:16,0.007922121,STATIC
2018/3/20 11:16,0.004579301,STATIC
2018/3/20 11:16,0.006414047,STATIC
2018/3/20 11:16,0.002828427,STATIC
2018/3/20 11:16,0.007189576,STATIC
2018/3/20 11:16,0.007537904,STATIC
2018/3/20 11:16,0.006147357,STATIC
2018/3/20 11:16,0.005256425,STATIC
2018/3/20 11:16,0.005829237,STATIC
2018/3/20 11:16,0.009059801,STATIC
2018/3/20 11:16,0.005624055,STATIC
2018/3/20 11:16,0.007353911,STATIC
2018/3/20 11:16,0.008289753,STATIC
2018/3/20 11:16,0.0110761,STATIC
2018/3/20 11:16,0.008855507,STATIC
2018/3/20 11:16,0.008079604,STATIC
2018/3/20 11:16,0.007156116,STATIC
2018/3/20 11:16,0.005804309,STATIC
2018/3/20 11:16,0.006273755,STATIC
2018/3/20 11:16,0.007128113,STATIC
2018/3/20 11:16,0.006162792,STATIC
2018/3/20 11:16,0.007281483,STATIC
2018/3/20 11:16,0.00751199,STATIC
2018/3/20 11:16,0.006893475,STATIC
2018/3/20 11:16,0.009219002,STATIC
2018/3/20 11:16,0.009616652,STATIC
2018/3/20 11:16,0.008353442,STATIC
2018/3/20 11:16,0.008212186,STATIC
2018/3/20 11:16,0.006392183,STATIC
2018/3/20 11:16,0.004684015,STATIC
2018/3/20 11:16,0.003796051,STATIC
2018/3/20 11:16,0.00894539,STATIC
2018/3/20 11:16,0.006524569,STATIC
2018/3/20 11:16,0.006424951,STATIC
2018/3/20 11:16,0.007071775,STATIC
2018/3/20 11:16,0.005266878,STATIC
2018/3/20 11:16,0.006647556,STATIC
2018/3/20 11:16,0.007311635,STATIC
2018/3/20 11:16,0.006707459,STATIC
2018/3/20 11:16,0.007208329,STATIC
2018/3/20 11:16,0.007678542,STATIC
2018/3/20 11:16,0.005901695,STATIC
2018/3/20 11:16,0.007016409,STATIC
2018/3/20 11:16,0.008914595,STATIC
2018/3/20 11:16,0.008111104,STATIC
2018/3/20 11:16,0.006273755,STATIC
2018/3/20 11:16,0.005664804,STATIC
2018/3/20 11:16,0.004247352,STATIC
2018/3/20 11:16,0.005092151,STATIC
2018/3/20 11:16,0.008060397,STATIC
2018/3/20 11:16,0.006218521,STATIC
2018/3/20 11:16,0.008232254,STATIC
2018/3/20 11:16,0.007919596,STATIC
2018/3/20 11:16,0.0062514,STATIC
2018/3/20 11:16,0.006721607,STATIC
2018/3/20 11:16,0.009342377,STATIC
2018/3/20 11:16,0.005801724,STATIC
2018/3/20 11:16,0.004693613,STATIC
2018/3/20 11:16,0.006042351,STATIC
2018/3/20 11:16,0.005744563,STATIC
2018/3/20 11:16,0.006654322,STATIC
2018/3/20 11:16,0.0045,STATIC
2018/3/20 11:17,0.010382196,STATIC
2018/3/20 11:17,0.005771482,STATIC
2018/3/20 11:17,0.006517668,STATIC
2018/3/20 11:17,0.005819794,STATIC
2018/3/20 11:17,0.008275264,STATIC
2018/3/20 11:17,0.005501818,STATIC
2018/3/20 11:17,0.006721607,STATIC
2018/3/20 11:17,0.027488361,STATIC
