date,x,y,z,activity
2018/3/20 11:16,0.0006,-0.005,-0.005,STATIC
2018/3/20 11:16,0.0019,-0.0053,-0.0053,STATIC
2018/3/20 11:16,0.0002,-0.0051,-0.0051,STATIC
2018/3/20 11:16,0.0004,-0.005,-0.005,STATIC
2018/3/20 11:16,0.0019,-0.0051,-0.0051,STATIC
2018/3/20 11:16,0.0018,-0.0038,-0.0038,STATIC
2018/3/20 11:16,0.0006,-0.0051,-0.0051,STATIC
2018/3/20 11:16,0.001,-0.0049,-0.0049,STATIC
2018/3/20 11:16,0.0008,-0.005,-0.005,STATIC
2018/3/20 11:16,0.0014,-0.0046,-0.0046,STATIC
2018/3/20 11:16,0.0009,-0.0062,-0.0062,STATIC
2018/3/20 11:16,0.0012,-0.0041,-0.0041,STATIC
2018/3/20 11:16,0.001,-0.0056,-0.0056,STATIC
2018/3/20 11:16,-0.0006,-0.0049,-0.0049,STATIC
2018/3/20 11:16,0.0009,-0.0054,-0.0054,STATIC
2018/3/20 11:16,0.0012,-0.0042,-0.0042,STATIC
2018/3/20 11:16,0.0002,-0.0043,-0.0043,STATIC
2018/3/20 11:16,0.0002,-0.0046,-0.0046,STATIC
2018/3/20 11:16,-0.0003,-0.0044,-0.0044,STATIC
2018/3/20 11:16,-0.0002,-0.0052,-0.0052,STATIC
2018/3/20 11:16,0.0015,-0.0046,-0.0046,STATIC
2018/3/20 11:16,-0.0002,-0.0061,-0.0061,STATIC
2018/3/20 11:16,0,-0.0047,-0.0047,STATIC
2018/3/20 11:16,0.0004,-0.0046,-0.0046,STATIC
2018/3/20 11:16,0.0001,-0.0066,-0.0066,STATIC
2018/3/20 11:16,-0.0002,-0.0057,-0.0057,STATIC
2018/3/20 11:16,0.0008,-0.0052,-0.0052,STATIC
2018/3/20 11:16,0.0003,-0.0039,-0.0039,STATIC
2018/3/20 11:16,0.0002,-0.0057,-0.0057,STATIC
2018/3/20 11:16,0.0005,-0.0043,-0.0043,STATIC
2018/3/20 11:16,0.001,-0.0052,-0.0052,STATIC
2018/3/20 11:16,0.0004,-0.0046,-0.0046,STATIC
2018/3/20 11:16,0.0007,-0.0038,-0.0038,STATIC
2018/3/20 11:16,0.0039,0.0176,0.0176,STATIC
2018/3/20 11:16,-0.0013,-0.0076,-0.0076,STATIC
2018/3/20 11:16,0.0036,-0.0052,-0.0052,STATIC
2018/3/20 11:16,-0.002,-0.01,-0.01,STATIC
2018/3/20 11:16,0.0024,-0.0083,-0.0083,STATIC
2018/3/20 11:16,0.0001,-0.0041,-0.0041,STATIC
2018/3/20 11:16,0.0013,-0.0057,-0.0057,STATIC
2018/3/20 11:16,0.0006,-0.0057,-0.0057,STATIC
2018/3/20 11:16,0.0022,-0.0046,-0.0046,STATIC
2018/3/20 11:16,0.0006,-0.0057,-0.0057,STATIC
2018/3/20 11:16,0.0002,-0.0061,-0.0061,STATIC
2018/3/20 11:16,0.0002,-0.0051,-0.0051,STATIC
2018/3/20 11:16,0.0008,-0.0032,-0.0032,STATIC
2018/3/20 11:16,0.0009,-0.0042,-0.0042,STATIC
