date,p,activity
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,7,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,5,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:04,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:05,6,STAND
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,250,SITTING
2018/3/20 12:06,250,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,254,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,253,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,252,SITTING
2018/3/20 12:06,255,SITTING
2018/3/20 12:06,259,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,261,SITTING
2018/3/20 12:06,260,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,262,SITTING
2018/3/20 12:06,258,SITTING
2018/3/20 12:06,280,SITTING
2018/3/20 12:06,243,SITTING
2018/3/20 12:06,318,SITTING
2018/3/20 12:06,45,STAND
2018/3/20 12:06,40,STAND
2018/3/20 12:06,33,STAND
2018/3/20 12:06,27,STAND
2018/3/20 12:06,28,STAND
2018/3/20 12:06,19,STAND
2018/3/20 12:06,18,STAND
2018/3/20 12:06,16,STAND
2018/3/20 12:06,15,STAND
2018/3/20 12:06,12,STAND
2018/3/20 12:06,12,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,11,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,9,STAND
2018/3/20 12:06,8,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,5,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:06,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,5,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,5,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:07,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,5,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
2018/3/20 12:08,6,STAND
