date,x,y,z,activity
2018/3/20 11:16,0.0022,-0.0048,-0.0048,SIT
2018/3/20 11:16,0.0012,-0.0035,-0.0035,SIT
2018/3/20 11:16,-0.0005,-0.0049,-0.0049,SIT
2018/3/20 11:16,0,-0.0052,-0.0052,SIT
2018/3/20 11:16,0.0008,-0.0045,-0.0045,SIT
2018/3/20 11:16,-0.0002,-0.0051,-0.0051,SIT
2018/3/20 11:16,0.0012,-0.0056,-0.0056,SIT
2018/3/20 11:16,0.002,-0.0033,-0.0033,SIT
2018/3/20 11:16,0.0002,-0.0043,-0.0043,SIT
2018/3/20 11:16,0.001,-0.0046,-0.0046,SIT
2018/3/20 11:16,0.0008,-0.0038,-0.0038,SIT
2018/3/20 11:16,0.0007,-0.005,-0.005,SIT
2018/3/20 11:16,0.002,-0.0047,-0.0047,SIT
2018/3/20 11:16,0.0002,-0.0024,-0.0024,SIT
2018/3/20 11:16,0.0018,-0.0041,-0.0041,SIT
2018/3/20 11:16,0.0003,-0.0044,-0.0044,SIT
2018/3/20 11:16,0.0012,-0.0036,-0.0036,SIT
2018/3/20 11:16,0.0016,-0.0051,-0.0051,SIT
2018/3/20 11:16,0.0017,-0.0048,-0.0048,SIT
2018/3/20 11:16,0.0019,-0.0056,-0.0056,SIT
2018/3/20 11:16,-0.0004,-0.0062,-0.0062,SIT
2018/3/20 11:16,0.0015,-0.0044,-0.0044,SIT
2018/3/20 11:16,0.0018,-0.0059,-0.0059,SIT
2018/3/20 11:16,0.0008,-0.0047,-0.0047,SIT
2018/3/20 11:16,0.0005,-0.004,-0.004,SIT
2018/3/20 11:16,0.0006,-0.0041,-0.0041,SIT
2018/3/20 11:16,0.0015,-0.0057,-0.0057,SIT
2018/3/20 11:16,0.0011,-0.0053,-0.0053,SIT
2018/3/20 11:16,0.001,-0.0036,-0.0036,SIT
2018/3/20 11:16,0.0005,-0.0054,-0.0054,SIT
2018/3/20 11:16,0.001,-0.0056,-0.0056,SIT
2018/3/20 11:16,0.0019,-0.0051,-0.0051,SIT
