date,pressure,activity
2018-03-20 11:26:30,292.0,
2018-03-20 11:26:30,293.0,
2018-03-20 11:26:30,295.0,
2018-03-20 11:26:30,294.0,
2018-03-20 11:26:30,294.0,
2018-03-20 11:26:30,294.0,
2018-03-20 11:26:30,294.0,
2018-03-20 11:26:30,294.0,
2018-03-20 11:26:31,294.0,
2018-03-20 11:26:31,295.0,
2018-03-20 11:26:31,294.0,
2018-03-20 11:26:31,294.0,
2018-03-20 11:26:31,294.0,
2018-03-20 11:26:31,295.0,
2018-03-20 11:26:31,295.0,
2018-03-20 11:26:32,296.0,
2018-03-20 11:26:32,296.0,
2018-03-20 11:26:32,296.0,
2018-03-20 11:26:32,296.0,
2018-03-20 11:26:32,295.0,
2018-03-20 11:26:32,296.0,
2018-03-20 11:26:33,296.0,
2018-03-20 11:26:33,297.0,
2018-03-20 11:26:33,296.0,
2018-03-20 11:26:33,296.0,
2018-03-20 11:26:33,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,296.0,
2018-03-20 11:26:34,296.0,
2018-03-20 11:26:34,296.0,
2018-03-20 11:26:34,296.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:26:34,297.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,296.0,
2018-03-20 11:27:27,295.0,
2018-03-20 11:27:27,296.0,
