date,lux,tem_in,tem_win,sonar_in,sonar_out,move,p,adx,ady,adz,awx,awy,awz,activity
2018-03-20 12:02:36,41,19.4,19.7,106,111,0,105.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:37,41,19.4,19.7,107,105,0,107.0,-0.95,-0.0,-0.19,-0.95,-0.02,-0.26,
2018-03-20 12:02:38,41,19.4,19.7,99,107,0,122.0,-0.95,0.01,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:38,41,19.4,19.7,100,113,0,121.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.24,
2018-03-20 12:02:39,41,19.4,19.7,100,114,0,112.0,-0.96,0.01,-0.2,-0.94,-0.02,-0.26,
2018-03-20 12:02:39,41,19.4,19.7,104,104,0,112.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:41,41,19.4,19.7,98,111,0,114.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:41,42,19.4,19.7,105,108,0,111.0,-0.94,0.0,-0.19,-0.95,-0.02,-0.25,
2018-03-20 12:02:42,42,19.4,19.7,108,108,0,103.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:43,42,19.4,19.7,99,115,0,106.0,-0.95,0.01,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:44,41,19.4,19.7,111,105,0,106.0,-0.95,0.01,-0.2,-0.93,-0.02,-0.25,
2018-03-20 12:02:44,41,19.4,19.7,118,98,0,106.0,-0.95,0.0,-0.2,-0.94,-0.01,-0.25,
2018-03-20 12:02:44,41,19.4,19.7,109,106,0,102.0,-0.95,0.0,-0.19,-0.95,-0.02,-0.26,
2018-03-20 12:02:45,42,19.4,19.7,107,101,0,107.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:45,42,19.4,19.7,108,104,0,105.0,-0.95,0.0,-0.19,-0.95,-0.02,-0.24,
2018-03-20 12:02:46,41,19.4,19.7,101,108,0,105.0,-0.95,0.0,-0.2,-0.94,-0.02,-0.25,
2018-03-20 12:02:46,41,19.4,19.7,96,107,0,107.0,-0.95,0.01,-0.19,-0.94,-0.02,-0.25,
2018-03-20 12:02:46,41,19.4,19.7,101,105,0,108.0,-0.95,0.01,-0.2,-0.95,-0.02,-0.25,
